,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY
0,Condo,315000,2,2.0,1400.0,Manhattan
9,Co-op,440000,2,1.0,978.0,Brooklyn
12,Co-op,259000,3,1.0,2184.207862,Queens
13,Co-op,430000,2,2.0,2184.207862,Queens
15,Condo,549000,2,2.0,1000.0,Staten Island
17,Co-op,199000,3,1.0,325.0,Brooklyn
19,Condo,599000,2,2.0,974.0,Queens
21,Condo,1300000,2,2.0,1244.0,Queens
23,Condo,349900,1,1.0,651.0,Staten Island
26,Co-op,325000,1,1.0,2184.207862,Queens
29,Multi-family,1299888,10,6.0,3156.0,Staten Island
32,Multi-family,1300000,10,8.0,5040.0,Staten Island
34,Co-op,279000,1,1.0,750.0,Brooklyn
35,Condo,528000,1,1.0,602.0,Brooklyn
36,Multi-family,1299888,11,4.0,3156.0,Staten Island
37,Co-op,275000,1,1.0,2184.207862,Queens
38,Condo,1165000,1,1.0,815.0,Brooklyn
44,Co-op,369000,2,1.0,2184.207862,Queens
48,Condo,329000,2,1.0,837.0,Staten Island
52,Co-op,220500,2,1.0,900.0,Staten Island
54,Co-op,3250000,2,2.0,1300.0,Manhattan
55,Condo,1650000,2,2.0,1267.0,Brooklyn
61,Co-op,559500,1,1.0,800.0,Brooklyn
64,Condo,1250000,2,2.0,1201.0,Brooklyn
65,Condo,1395000,2,2.0,1182.0,Brooklyn
66,Co-op,198000,1,1.0,2184.207862,Queens
72,Condo,1175000,2,2.0,1115.0,Brooklyn
95,Co-op,539000,2,2.0,1100.0,Brooklyn
100,Co-op,280000,1,1.0,1000.0,Brooklyn
127,Condo,189000,2,2.0,966.0,Staten Island
128,Condo,759000,3,2.0,1200.0,Queens
135,Co-op,1399000,3,4.0,1993.0,Queens
136,Condo,649000,3,2.0,1182.0,Queens
151,Condo,250000,3,1.0,2184.207862,Brooklyn
157,Co-op,449000,2,2.0,1549.0,Queens
161,Condo,2000000,3,2.0,2000.0,Manhattan
184,Condo,198000,1,1.0,750.0,Queens
194,Co-op,1895000,2,2.0,2184.207862,Brooklyn
204,Condo,725000,2,2.0,792.0,Brooklyn
220,Co-op,358000,2,1.0,2184.207862,Queens
223,Co-op,498000,2,1.0,975.0,Brooklyn
224,Co-op,385000,1,2.0,900.0,Queens
226,Co-op,399000,1,1.0,2184.207862,Queens
230,Co-op,1088000,5,2.0,2184.207862,Queens
233,Co-op,265000,1,1.0,700.0,Queens
234,Co-op,288000,1,1.0,845.0,Brooklyn
238,Co-op,349000,2,1.0,2184.207862,Queens
241,Co-op,329000,1,1.0,820.0,Queens
245,Condo,430000,2,2.0,1248.0,Staten Island
247,Co-op,439500,3,2.0,1400.0,Queens
248,Co-op,299000,1,1.0,2184.207862,Queens
255,Co-op,220000,1,1.0,590.0,Queens
256,Co-op,198000,3,1.0,2184.207862,Queens
259,Co-op,199900,2,1.0,2184.207862,Queens
262,Co-op,229000,1,1.0,2184.207862,Queens
265,Co-op,295000,2,1.0,700.0,Brooklyn
268,Co-op,328000,1,1.0,800.0,Queens
275,Co-op,849000,2,1.0,800.0,Brooklyn
280,Co-op,849000,2,1.0,800.0,Brooklyn
281,Co-op,418888,2,1.0,900.0,Brooklyn
285,Co-op,199000,1,1.0,2184.207862,Queens
309,Co-op,370000,1,1.0,2184.207862,Brooklyn
314,Co-op,259000,1,1.0,750.0,Brooklyn
318,Condo,99000,1,1.0,2184.207862,Brooklyn
319,Co-op,535000,1,1.0,750.0,Brooklyn
346,Co-op,459000,2,1.0,950.0,Queens
349,Condo,559000,1,1.0,679.0,Manhattan
358,Condo,289000,1,1.0,666.0,Brooklyn
359,Condo,699000,1,1.0,616.0,Brooklyn
362,Condo,1355000,2,2.0,1002.0,Brooklyn
363,Condo,1225000,2,2.0,882.0,Brooklyn
368,Co-op,202000,2,1.0,1453.0,Queens
371,Co-op,599000,3,1.0,1200.0,Brooklyn
372,Condo,235000,2,1.0,860.0,Staten Island
387,Co-op,365000,2,1.0,2184.207862,Queens
415,Co-op,235000,3,2.0,1400.0,Queens
436,Condo,189000,1,1.0,730.0,Staten Island
446,Co-op,295000,3,1.0,2184.207862,Queens
459,Condo,965000,3,1.0,540.0,Brooklyn
468,Co-op,259500,2,1.0,2184.207862,Queens
470,Condo,749000,2,2.0,1300.0,Queens
502,Co-op,235000,3,1.0,2184.207862,Queens
505,Condo,485000,3,2.0,2184.207862,Brooklyn
506,Co-op,215000,3,1.0,1100.0,Brooklyn
508,Co-op,270000,2,2.0,900.0,Queens
510,Co-op,565000,1,1.0,2184.207862,Brooklyn
512,Co-op,199000,2,1.0,2184.207862,Queens
519,Co-op,300000,2,1.0,900.0,Staten Island
523,Co-op,350000,2,1.0,825.0,Brooklyn
536,Condo,699000,2,2.0,833.0,Queens
537,Co-op,278500,2,1.0,2184.207862,Queens
540,Co-op,369000,1,1.0,1470.0,Queens
548,Condo,434900,3,2.0,1286.0,Staten Island
552,Co-op,549000,2,2.0,1200.0,Queens
563,Condo,575000,2,2.0,2184.207862,Queens
570,Co-op,219000,3,1.0,1050.0,Brooklyn
578,Condo,550000,2,2.0,2184.207862,Queens
582,Co-op,410000,1,1.0,2184.207862,Brooklyn
585,Co-op,325000,2,1.0,2184.207862,Queens
594,Condo,799999,3,2.0,1200.0,Queens
599,Co-op,299000,3,1.0,2184.207862,Brooklyn
602,Co-op,259000,2,1.0,2184.207862,Queens
603,Co-op,425000,2,1.0,2184.207862,Queens
607,Co-op,259000,2,1.0,2184.207862,Queens
611,Co-op,419000,2,1.0,2184.207862,Queens
618,Co-op,219000,2,1.0,2184.207862,Queens
630,Co-op,239000,2,1.0,798.0,Queens
636,Co-op,369888,2,2.0,2184.207862,Queens
663,Co-op,185000,1,1.0,2184.207862,Brooklyn
669,Condo,609000,2,2.0,2184.207862,Queens
670,Co-op,250000,2,1.0,950.0,Brooklyn
673,Condo,109500,3,1.0,550.0,Staten Island
677,Co-op,299000,2,1.0,2184.207862,Queens
687,Condo,478900,1,1.0,554.0,Queens
700,Condo,355000,1,1.0,514.0,Brooklyn
704,Co-op,220000,1,1.0,2184.207862,Queens
705,Co-op,489000,2,2.0,1549.0,Queens
715,Co-op,315000,1,1.0,850.0,Queens
723,Co-op,115000,3,1.0,2184.207862,Queens
725,Condo,699000,2,2.0,1766.0,Queens
728,Condo,410000,2,2.0,2184.207862,Queens
742,Co-op,259000,1,1.0,2184.207862,Queens
743,House,850000,6,3.0,2280.0,Brooklyn
746,Co-op,825000,2,1.0,800.0,Brooklyn
747,Co-op,1075000,4,2.0,1800.0,Queens
751,Condo,578000,2,2.0,900.0,Queens
753,Condo,629000,3,2.0,1360.0,Brooklyn
754,Condo,329900,2,2.0,993.0,Queens
769,Co-op,675000,2,2.0,1200.0,Brooklyn
772,Co-op,368000,2,2.0,2184.207862,Queens
775,Co-op,365000,2,1.0,2184.207862,Queens
780,Co-op,225000,2,1.0,789.0,Staten Island
787,Co-op,385000,2,1.0,800.0,Queens
808,Co-op,228500,1,1.0,750.0,Queens
809,Co-op,305000,2,1.0,2184.207862,Queens
824,Co-op,335000,2,1.0,745.0,Queens
830,Co-op,335000,2,1.0,745.0,Queens
834,Condo,720000,3,2.0,1046.0,Brooklyn
842,Co-op,887785,2,2.0,2184.207862,Queens
843,Condo,499999,3,1.0,701.0,Brooklyn
848,Condo,699900,1,1.0,2184.207862,Queens
853,Co-op,188000,3,1.0,2184.207862,Queens
856,Condo,705000,2,2.0,2184.207862,Queens
858,Co-op,389000,2,1.0,2184.207862,Queens
859,Co-op,350000,2,1.0,2184.207862,Brooklyn
862,Co-op,350000,2,1.0,2184.207862,Brooklyn
872,Townhouse,4250000,3,4.0,3376.0,Brooklyn
880,Condo,929000,3,2.0,2184.207862,Queens
881,Co-op,629000,2,2.0,1600.0,Queens
883,Co-op,315000,2,1.0,2184.207862,Queens
884,Condo,698000,2,2.0,824.0,Queens
903,Condo,2099000,3,2.0,1711.0,Brooklyn
904,Co-op,575000,3,2.0,1480.0,Brooklyn
909,Condo,345000,1,1.0,2184.207862,Queens
911,Co-op,379000,2,2.0,1160.0,Brooklyn
931,Condo,410000,2,1.0,2184.207862,Staten Island
932,Co-op,269000,1,1.0,900.0,Queens
935,Co-op,550000,2,1.0,1069.0,Queens
